relationship_id,source_entity_id,target_entity_id,relationship_type,relationship_category,authority_source,description,last_verified
app-072,mayor-001,water-001,appoints_board_representative,appointment,California State Legislature,City of San Diego appoints Water Authority representatives with Council confirmation,2025-01-01
app-073,sandag-001,sandag-002,appoints_committee_members,appointment,Regional Authority Governance,SANDAG Board appoints 6 members to Executive Committee,2025-01-01
app-074,sandag-001,sandag-003,appoints_committee_members,appointment,Regional Authority Governance,SANDAG Board appoints members to Transportation Committee,2025-01-01
app-075,sandag-001,sandag-004,appoints_committee_members,appointment,Regional Authority Governance,SANDAG Board appoints members to Regional Planning Committee,2025-01-01
app-076,sandag-001,sandag-005,appoints_committee_members,appointment,Regional Authority Governance,SANDAG Board appoints members to Audit Committee,2025-01-01
app-077,sandag-001,sandag-006,appoints_committee_members,appointment,Regional Authority Governance,SANDAG Board appoints members to Borders Committee,2025-01-01
app-078,sandag-001,sandag-007,appoints_committee_members,appointment,Regional Authority Governance,SANDAG Board appoints members to Public Safety Committee,2025-01-01
app-079,mts-001,mts-002,appoints_committee_members,appointment,Regional Authority Governance,MTS Board appoints members to Joint Audit Oversight Budget Development and Executive Committee,2025-01-01
app-080,mts-001,mts-003,appoints_committee_members,appointment,Regional Authority Governance,MTS Board appoints community members to Accessible Services Advisory Committee,2025-01-01
app-081,mts-001,mts-004,appoints_committee_members,appointment,Regional Authority Governance,MTS Board appoints members to Public Security Committee,2025-01-01
app-082,mts-001,mts-005,appoints_committee_members,appointment,Regional Authority Governance,MTS Board appoints industry and public representatives to Taxicab Advisory Committee,2025-01-01
app-083,airport-001,airport-002,appoints_committee_members,appointment,Regional Authority Governance,Airport Authority Board appoints members to Planning Committee,2025-01-01
app-084,airport-001,airport-003,appoints_committee_members,appointment,Regional Authority Governance,Airport Authority Board appoints 3 members to Executive Committee,2025-01-01
app-085,airport-001,airport-004,appoints_committee_members,appointment,Regional Authority Governance,Airport Authority Board appoints members to Oversight Committee,2025-01-01
app-086,airport-001,airport-005,appoints_committee_members,appointment,Regional Authority Governance,Airport Authority Board appoints community members to Art Advisory Committee,2025-01-01
app-087,port-001,port-002,appoints_committee_members,appointment,Regional Authority Governance,Port Board appoints community members to Environmental Advisory Committee,2025-01-01
app-088,water-001,water-002,appoints_committee_members,appointment,Regional Authority Governance,Water Authority Board appoints members to Administrative and Finance Committee,2025-01-01
app-089,water-001,water-003,appoints_committee_members,appointment,Regional Authority Governance,Water Authority Board appoints members to Engineering and Operations Committee,2025-01-01
app-090,water-001,water-004,appoints_committee_members,appointment,Regional Authority Governance,Water Authority Board appoints members to Imported Water Committee,2025-01-01
app-091,water-001,water-005,appoints_committee_members,appointment,Regional Authority Governance,Water Authority Board appoints members to Legislation & Public Outreach Committee,2025-01-01
app-092,water-001,water-006,appoints_committee_members,appointment,Regional Authority Governance,Water Authority Board appoints members to Water Planning and Environmental Committee,2025-01-01
app-093,council-001,city-dept-030,appoints_department_head,appointment,San Diego City Charter,City Council appoints Independent Budget Analyst,2025-01-01
app-094,council-001,sandag-001,confirms_appointments,appointment,Regional Authority Governance,Other member cities appoint one representative each to SANDAG Board,2025-01-01
app-095,council-001,mts-001,confirms_appointments,appointment,Regional Authority Governance,Other member cities appoint representatives to MTS Board,2025-01-01
app-096,council-001,port-001,confirms_appointments,appointment,California Senate Bill 41,Chula Vista appoints 1 commissioner to Port District Board,2025-01-01
app-097,council-001,port-001,confirms_appointments,appointment,California Senate Bill 41,Coronado appoints 1 commissioner to Port District Board,2025-01-01
app-098,council-001,port-001,confirms_appointments,appointment,California Senate Bill 41,Imperial Beach appoints 1 commissioner to Port District Board,2025-01-01
app-099,council-001,port-001,confirms_appointments,appointment,California Senate Bill 41,National City appoints 1 commissioner to Port District Board,2025-01-01
app-100,council-001,nctd-001,confirms_appointments,appointment,Regional Authority Governance,North County cities appoint representatives to NCTD Board,2025-01-01
app-101,supervisor-001,nctd-001,appoints_board_representative,appointment,Regional Authority Governance,5th District County Supervisor serves on NCTD Board,2025-01-01
app-102,council-001,lafco-001,appoints_board_representative,appointment,Regional Authority Governance,Cities appoint representatives to San Diego LAFCO Commission,2025-01-01
app-103,supervisor-001,lafco-001,appoints_board_representative,appointment,Regional Authority Governance,County supervisors appoint representatives to San Diego LAFCO Commission,2025-01-01
app-104,council-001,lafco-001,appoints_board_representative,appointment,Regional Authority Governance,Special districts appoint representatives to San Diego LAFCO Commission,2025-01-01
app-105,council-001,lafco-001,appoints_board_representative,appointment,Regional Authority Governance,Public members appointed to San Diego LAFCO Commission,2025-01-01
app-106,lafco-001,lafco-002,appoints_committee_members,appointment,Regional Authority Governance,San Diego LAFCO Commission appoints special district representatives to Advisory Committee,2025-01-01
